Step Id,Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
3,6,4294967295,58595,6,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1768879468601052.760	,12.320,0.080000,48,0,NO,"""4096,1,4,128;4096,1,4,128""",DT_BF16;DT_BF16,NCHW;NCHW,"""4096,1,4,128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.51,781976,2.924,0.278,0.647,0.062,5.604,0.533,1.799,0.171,0.046,0.000
3,6,4294967295,58596,6,RotaryPositionEmbeddingGrad,RotaryPositionEmbeddingGrad,dynamic,AI_VECTOR_CORE,1768879468601065.100	,73.880,0.000000,48,0,NO,"""4096,1,28,128;4096,1,1,128;4096,1,1,128;""",DT_BF16;DT_BF16;DT_BF16;DT_UNDEFINED,ND;ND;ND;NULL,"""4096,1,28,128;;""",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.991,5281696,39.552,0.557,24.552,0.346,23.643,0.333,16.313,0.23,0.0,0.000
3,6,4294967295,58597,6,aclnnInplaceZero_ZerosLikeAiCore_ZerosLike,ZerosLike,dynamic,AI_VECTOR_CORE,1768879468601139.020	,23.660,0.120000,48,0,NO,"""4096,1,28,128""",DT_BF16,NCHW,"""4096,1,28,128""",DT_BF16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.813,1622864,7.784,0.357,1.948,0.089,0.001,0.0,20.372,0.934,0.0,0.000
3,6,4294967295,58598,6,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1768879468601162.700	,25.660,0.090000,48,0,NO,"""4096,1,28,128;4096,1,28,128""",DT_BF16;DT_BF16,NCHW;NCHW,"""4096,1,28,128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.829,1772866,20.196,0.848,3.699,0.155,17.538,0.736,9.514,0.399,0.0,0.000
3,6,4294967295,58599,6,aclnnCat_ConcatD_ConcatD,ConcatD,dynamic,AI_VECTOR_CORE,1768879468601188.400	,27.000,0.090000,44,0,NO,"""4096,1,4,896;4096,1,4,128;4096,1,4,128""",DT_BF16;DT_BF16;DT_BF16,NCHW;NCHW;NCHW,"""4096,1,4,1152""",DT_BF16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.574,1675958,2.413,0.098,2.573,0.105,11.932,0.486,8.887,0.362,0.039,0.000
3,6,4294967295,58600,6,aclnnMatmul_MatMulV3Common_MatMulV3,MatMulV3,dynamic,AI_CORE,1768879468601215.420	,521.040,0.000000,24,0,NO,"""4096,4608;4608,3584""",DT_BF16;DT_BF16,ND;ND,"""4096,3584""",DT_BF16,ND,N/A,507.966,18896338,449.345,0.885,187.724,0.37,352.664,0.694,401.338,0.79,64.178,0.126,0.001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.950
3,6,4294967295,58601,6,aclnnMatmul_MatMulV3Common_MatMulV3,MatMulV3,dynamic,AI_CORE,1768879468601736.500	,543.960,0.000000,24,0,NO,"""4096,4608;4096,3584""",DT_BF16;DT_BF16,ND;ND,"""4608,3584""",DT_BF16,ND,N/A,548.462,19086484,488.343,0.89,212.026,0.387,416.996,0.76,426.353,0.777,78.707,0.144,0.001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.222
3,6,4294967295,58602,6,aclnnReduceSum_ReduceSumOpAiCore_ReduceSum,ReduceSum,dynamic,MIX_AIV,1768879468602281.500	,76.980,1.040000,48,0,NO,"""4096,4608;1""",DT_BF16;INT64,ND;ND,"""4608""",DT_BF16,ND,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.732,4226943,21.512,0.354,28.6,0.471,15.714,0.259,0.741,0.012,0.012,0.000
3,6,4294967295,58603,6,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1768879468602359.700	,108.260,1.270000,48,0,NO,"""4608,3584;4608,3584""",FLOAT;DT_BF16,ND;ND,"""4608,3584""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.794,7293685,11.187,0.107,3.031,0.029,98.445,0.939,27.705,0.264,0.01,0.000
3,6,4294967295,58604,6,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1768879468602467.980	,2.680,0.000000,5,0,NO,"""4608;4608""",FLOAT;DT_BF16,ND;ND,"""4608""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.752,12699,0.061,0.035,0.244,0.139,0.557,0.318,0.151,0.086,0.146,0.000
